,Km,EngSize,Hp,Fuel Consumption,Price,Age,Fiat,Ford,Renault,Toyota,Volkswagen,Manuel,Automatic,Semi-Automatic,Benzin,Diesel,Hybrid,Benzin&LPG
245,42000,1368,95,6.4,520000,2,1,0,0,0,0,1,0,0,1,0,0,0
246,126602,1248,95,4.1,440000,5,1,0,0,0,0,1,0,0,0,1,0,0
247,167237,1248,95,4.1,420000,6,1,0,0,0,0,1,0,0,0,1,0,0
248,103000,1248,95,4.1,475000,4,1,0,0,0,0,1,0,0,0,1,0,0
249,102000,1368,95,5.7,405000,3,1,0,0,0,0,1,0,0,1,0,0,0
250,69800,1598,110,6.3,475000,6,1,0,0,0,0,0,1,0,0,0,0,1
251,134000,1248,95,4.1,395000,6,1,0,0,0,0,1,0,0,0,1,0,0
252,51000,1368,95,5.7,449999,2,1,0,0,0,0,1,0,0,1,0,0,0
253,31000,1368,95,6.4,455000,2,1,0,0,0,0,1,0,0,1,0,0,0
254,87000,1248,95,4.1,402750,6,1,0,0,0,0,1,0,0,0,1,0,0
255,158000,1248,95,4.1,410000,7,1,0,0,0,0,1,0,0,0,1,0,0
256,93000,1368,95,5.7,392000,4,1,0,0,0,0,1,0,0,0,0,0,1
257,175000,1368,95,5.7,410000,6,1,0,0,0,0,1,0,0,0,0,0,1
258,95000,1598,120,3.9,495000,4,1,0,0,0,0,0,0,1,0,1,0,0
259,180000,1248,95,4.1,385000,5,1,0,0,0,0,1,0,0,0,1,0,0
260,49000,1248,95,4.1,515000,4,1,0,0,0,0,1,0,0,0,1,0,0
261,10000,1368,95,5.7,450000,3,1,0,0,0,0,1,0,0,1,0,0,0
262,127000,1248,95,4.1,399500,7,1,0,0,0,0,1,0,0,0,1,0,0
263,168000,1248,95,4.1,399950,6,1,0,0,0,0,1,0,0,0,1,0,0
264,158000,1248,95,4.1,399950,6,1,0,0,0,0,1,0,0,0,1,0,0
265,216000,1598,120,3.9,420000,7,1,0,0,0,0,0,0,1,0,1,0,0
266,62500,1248,95,4.1,466500,3,1,0,0,0,0,1,0,0,0,1,0,0
267,13500,1368,95,6.4,510000,2,1,0,0,0,0,1,0,0,0,0,0,1
268,136000,1248,95,4.1,449999,5,1,0,0,0,0,1,0,0,0,1,0,0
269,94000,1248,95,4.1,447000,6,1,0,0,0,0,1,0,0,0,1,0,0
270,131000,1248,95,4.1,330000,7,1,0,0,0,0,1,0,0,0,1,0,0
271,131640,1368,95,5.7,385000,4,1,0,0,0,0,1,0,0,1,0,0,0
272,216500,1248,95,4.1,300000,7,1,0,0,0,0,1,0,0,0,1,0,0
273,142000,1248,95,4.1,305000,6,1,0,0,0,0,1,0,0,0,1,0,0
274,99000,1248,95,4.1,455000,3,1,0,0,0,0,1,0,0,0,1,0,0
275,80000,1248,95,4.1,407000,3,1,0,0,0,0,1,0,0,0,1,0,0
276,109000,1248,95,4.1,332000,7,1,0,0,0,0,1,0,0,0,1,0,0
277,104000,1248,95,4.1,379000,7,1,0,0,0,0,1,0,0,0,1,0,0
278,43000,1368,95,5.7,450000,3,1,0,0,0,0,1,0,0,1,0,0,0
279,130000,1248,95,4.1,445000,4,1,0,0,0,0,1,0,0,0,1,0,0
280,79000,1248,95,4.1,497000,3,1,0,0,0,0,1,0,0,0,1,0,0
281,59000,1248,95,4.1,510000,3,1,0,0,0,0,1,0,0,0,1,0,0
282,100000,1598,120,4.2,449000,7,1,0,0,0,0,1,0,0,0,1,0,0
283,78000,1598,120,4.2,520000,7,1,0,0,0,0,1,0,0,0,1,0,0
284,220000,1598,120,3.9,445000,6,1,0,0,0,0,0,0,1,0,1,0,0
285,107000,1248,95,4.3,526500,2,1,0,0,0,0,1,0,0,0,1,0,0
286,136500,1248,95,4.1,377000,7,1,0,0,0,0,1,0,0,0,1,0,0
287,50400,1368,95,5.7,425000,4,1,0,0,0,0,1,0,0,1,0,0,0
288,50000,1368,95,6.4,445000,2,1,0,0,0,0,1,0,0,1,0,0,0
289,184000,1248,95,4.1,364000,6,1,0,0,0,0,1,0,0,0,1,0,0
290,43000,1368,95,5.7,505000,3,1,0,0,0,0,1,0,0,1,0,0,0
291,106000,1248,95,4.1,385000,6,1,0,0,0,0,1,0,0,0,1,0,0
292,38000,1368,95,5.7,475000,3,1,0,0,0,0,1,0,0,1,0,0,0
293,48000,1598,130,4.3,632000,2,1,0,0,0,0,1,0,0,0,1,0,0
294,167000,1368,95,5.7,375000,7,1,0,0,0,0,1,0,0,0,0,0,1
295,74000,1368,95,5.7,400000,5,1,0,0,0,0,1,0,0,1,0,0,0
296,95300,1248,95,4.1,418000,5,1,0,0,0,0,1,0,0,0,1,0,0
297,178000,1598,120,3.9,433333,6,1,0,0,0,0,0,0,1,0,1,0,0
298,102000,1598,120,3.8,499000,7,1,0,0,0,0,0,0,1,0,1,0,0
299,39850,1248,95,4.1,528000,3,1,0,0,0,0,1,0,0,0,1,0,0
300,22650,1368,95,5.7,440000,4,1,0,0,0,0,1,0,0,1,0,0,0
301,8200,1368,95,6.4,510500,1,1,0,0,0,0,1,0,0,0,0,0,1
302,5500,1368,95,6.4,540000,1,1,0,0,0,0,1,0,0,1,0,0,0
303,124000,1368,95,5.7,415000,7,1,0,0,0,0,1,0,0,1,0,0,0
304,144000,1598,120,3.9,475000,4,1,0,0,0,0,0,0,1,0,1,0,0
305,21000,1368,95,6.6,510000,2,1,0,0,0,0,1,0,0,1,0,0,0
306,152000,1248,95,4.1,394000,6,1,0,0,0,0,1,0,0,0,1,0,0
307,17000,1368,95,5.7,550000,3,1,0,0,0,0,1,0,0,1,0,0,0
308,57000,1368,95,5.7,447500,3,1,0,0,0,0,1,0,0,1,0,0,0
309,59577,1248,95,4.1,430250,7,1,0,0,0,0,1,0,0,0,1,0,0
310,1001,1368,95,6.4,496500,1,1,0,0,0,0,1,0,0,1,0,0,0
311,170000,1598,120,3.7,440000,7,1,0,0,0,0,1,0,0,0,1,0,0
312,41000,1368,95,5.7,465000,4,1,0,0,0,0,1,0,0,1,0,0,0
313,30000,1368,95,5.7,385000,4,1,0,0,0,0,1,0,0,1,0,0,0
